Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
(Royal Challengers Bangalore),,,,,,,,,,,,
VR Aaron,0*,1,0,0,0,-,1,,v KKR,Bengaluru,2 May 2016,
(Royal Challengers Bangalore),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v Supergiants,Bengaluru,7 May 2016,
(Royal Challengers Bangalore),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v Kings XI,Mohali,9 May 2016,
(Royal Challengers Bangalore),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v MI,Bengaluru,11 May 2016,
(Royal Challengers Bangalore),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v Guj Lions,Bengaluru,14 May 2016,
(Royal Challengers Bangalore),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v Kings XI,Bengaluru,18 May 2016,
(Royal Challengers Bangalore),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v RCB,Indore,10 Apr 2017,
(Kings XI Punjab),,,,,,,,,,,,
VR Aaron,4,10,5,0,0,80.00,1,,v KKR,Eden Gardens,13 Apr 2017,
(Kings XI Punjab),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v Daredevils,Delhi,15 Apr 2017,
(Kings XI Punjab),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v Daredevils,Mohali,30 Apr 2017,
(Kings XI Punjab),,,,,,,,,,,,
VR Aaron,0*,9,5,0,0,0.00,1,,v RCB,Bengaluru,5 May 2017,
(Kings XI Punjab),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v Guj Lions,Mohali,7 May 2017,
(Kings XI Punjab),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v RCB,Jaipur,2 Apr 2019,
(Rajasthan Royals),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v KKR,Eden Gardens,25 Apr 2019,
(Rajasthan Royals),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v SRH,Jaipur,27 Apr 2019,
(Rajasthan Royals),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v RCB,Bengaluru,30 Apr 2019,
(Rajasthan Royals),,,,,,,,,,,,
VR Aaron,3*,18,7,0,0,42.85,1,,v DC,Delhi,4 May 2019,
(Rajasthan Royals),,,,,,,,,,,,
VR Aaron,1,-,2,0,0,50.00,2,,v DC,Sharjah,9 Oct 2020,
(Rajasthan Royals),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v Kings XI,Abu Dhabi,30 Oct 2020,
(Rajasthan Royals),,,,,,,,,,,,
VR Aaron,0*,-,8,0,0,0.00,2,,v KKR,Dubai (DICS),1 Nov 2020,
(Rajasthan Royals),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v LSG,Wankhede,28 Mar 2022,
(Gujarat Titans),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v DC,Pune,2 Apr 2022,
(Gujarat Titans),,,,,,,,,,,,
KJ Abbott,DNB,-,-,-,-,-,2,,v Supergiants,Mohali,17 Apr 2016,
(Kings XI Punjab),,,,,,,,,,,,
KJ Abbott,12*,7,6,0,1,200.00,1,,v KKR,Mohali,19 Apr 2016,
(Kings XI Punjab),,,,,,,,,,,,
KJ Abbott,DNB,-,-,-,-,-,1,,v SRH,Hyderabad,23 Apr 2016,
(Kings XI Punjab),,,,,,,,,,,,
KJ Abbott,0,-,1,0,0,0.00,2,,v RCB,Bengaluru,18 May 2016,
(Kings XI Punjab),,,,,,,,,,,,
KJ Abbott,1*,2,1,0,0,100.00,1,,v Supergiants,Visakhapatnam,21 May 2016,
(Kings XI Punjab),,,,,,,,,,,,
SA Abbott,1,8,4,0,0,25.00,2,,v KKR,Eden Gardens,11 Apr 2015,
(Royal Challengers Bangalore),,,,,,,,,,,,
SA Abbott,14,17,9,1,1,155.55,1,,v SRH,Bengaluru,13 Apr 2015,
(Royal Challengers Bangalore),,,,,,,,,,,,
SA Abbott,7,13,5,0,1,140.00,2,,v DC,Brabourne,5 May 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,1,,v Daredevils,Cape Town,19 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,1,,v KKR,Durban,21 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,2,,v RCB,Durban,24 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
