Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
PVD Chameera,13,15,7,2,0,185.71,2,,v RR,Wankhede,10 Apr 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,DNB,-,-,-,-,-,1,,v MI,Brabourne,16 Apr 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,1*,9,3,0,0,33.33,2,,v RCB,DY Patil,19 Apr 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,DNB,-,-,-,-,-,1,,v MI,Wankhede,24 Apr 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,17,16,10,0,2,170.00,1,,v Punjab Kings,Pune,29 Apr 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,DNB,-,-,-,-,-,1,,v DC,Wankhede,1 May 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,0,3,1,0,0,0.00,1,,v KKR,Pune,7 May 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,0*,7,0,0,0,-,2,,v GT,Pune,10 May 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,0,3,2,0,0,0.00,2,,v RR,Brabourne,15 May 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,11*,9,4,1,1,275.00,2,,v RCB,Eden Gardens,25 May 2022,
(Lucknow Super Giants),,,,,,,,,,,,
PVD Chameera,DNB,-,-,-,-,-,1,,v Punjab Kings,Eden Gardens,26 Apr 2024,
(Kolkata Knight Riders),,,,,,,,,,,,
UBT Chand,0,-,2,0,0,0.00,1,,v MI,Delhi,10 Apr 2011,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,2,-,10,0,0,20.00,1,,v RR,Jaipur,12 Apr 2011,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,18,19,10,2,1,180.00,2,,v RCB,Delhi,17 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,18,46,24,0,2,75.00,2,,v Kings XI,Dharamsala,19 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,0,1,1,0,0,0.00,1,,v KKR,Eden Gardens,3 Apr 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,23,22,19,2,1,121.05,2,,v RR,Delhi,6 Apr 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,0,1,1,0,0,0.00,2,,v MI,Wankhede,9 Apr 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,17,31,19,2,0,89.47,1,,v Warriors,Raipur,28 Apr 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,37,64,39,4,0,94.87,2,,v KKR,Raipur,1 May 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,17,37,24,3,0,70.83,1,,v SRH,Hyderabad,4 May 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,41,62,35,4,1,117.14,2,,v RCB,Delhi,10 May 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,16,22,12,2,1,133.33,2,,v CSK,Chennai,14 May 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,7,10,8,0,1,87.50,2,,v Kings XI,Dharamsala,16 May 2013,
(Delhi Daredevils),,,,,,,,,,,,
UBT Chand,2,12,9,0,0,22.22,2,,v MI,Ahmedabad,19 May 2014,
(Rajasthan Royals),,,,,,,,,,,,
UBT Chand,12,-,17,1,0,70.58,1,,v RR,Ahmedabad,14 Apr 2015,
(Mumbai Indians),,,,,,,,,,,,
UBT Chand,58,50,37,8,2,156.75,1,,v RCB,Bengaluru,19 Apr 2015,
(Mumbai Indians),,,,,,,,,,,,
UBT Chand,14,20,11,2,0,127.27,2,,v Daredevils,Delhi,23 Apr 2015,
(Mumbai Indians),,,,,,,,,,,,
UBT Chand,5,6,4,1,0,125.00,1,,v SRH,Wankhede,25 Apr 2015,
(Mumbai Indians),,,,,,,,,,,,
UBT Chand,13,31,14,1,0,92.85,1,,v RR,Wankhede,1 May 2015,
(Mumbai Indians),,,,,,,,,,,,
UBT Chand,DNB,-,-,-,-,-,1,,v Kings XI,Mohali,3 May 2015,
(Mumbai Indians),,,,,,,,,,,,
UBT Chand,0,10,4,0,0,0.00,1,,v Kings XI,Visakhapatnam,13 May 2016,
(Mumbai Indians),,,,,,,,,,,,
S Chanderpaul,16,-,11,3,0,145.45,2,,v MI,Wankhede,20 Apr 2008,
(Royal Challengers Bangalore),,,,,,,,,,,,
S Chanderpaul,2,-,9,0,0,22.22,1,,v RR,Bengaluru,26 Apr 2008,
(Royal Challengers Bangalore),,,,,,,,,,,,
S Chanderpaul,7,-,11,1,0,63.63,2,,v KKR,Eden Gardens,8 May 2008,
(Royal Challengers Bangalore),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,2,,v RCB,Jaipur,23 Apr 2012,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,1,,v Warriors,Jaipur,13 May 2012,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,0*,1,1,0,0,0.00,1,,v Chargers,Hyderabad,18 May 2012,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,1,,v MI,Jaipur,20 May 2012,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,2,,v Kings XI,Jaipur,14 Apr 2013,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,1,,v MI,Jaipur,17 Apr 2013,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,4*,15,6,0,0,66.66,1,,v RCB,Bengaluru,20 Apr 2013,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,1,,v CSK,Chennai,22 Apr 2013,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,2,,v SRH,Jaipur,27 Apr 2013,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,2,,v RCB,Jaipur,29 Apr 2013,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,2,,v Warriors,Jaipur,5 May 2013,
(Rajasthan Royals),,,,,,,,,,,,
A Chandila,DNB,-,-,-,-,-,2,,v Kings XI,Mohali,9 May 2013,
(Rajasthan Royals),,,,,,,,,,,,
SD Chauhan,9,13,6,0,1,150.00,1,,v RR,Jaipur,6 Apr 2024,
(Royal Challengers Bengaluru),,,,,,,,,,,,
SD Chauhan,9,10,8,1,0,112.50,1,,v MI,Wankhede,11 Apr 2024,
(Royal Challengers Bengaluru),,,,,,,,,,,,
SD Chauhan,0,6,1,0,0,0.00,2,,v SRH,Bengaluru,15 Apr 2024,
(Royal Challengers Bengaluru),,,,,,,,,,,,
AA Chavan,1,-,3,0,0,33.33,1,,v Kochi,Indore,15 May 2011,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,2,,v MI,Wankhede,20 May 2011,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,1,,v Kings XI,Jaipur,6 Apr 2012,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,1,,v KKR,Jaipur,8 Apr 2012,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,4,6,2,1,0,200.00,2,,v MI,Wankhede,11 Apr 2012,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,1,,v KKR,Eden Gardens,13 Apr 2012,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,2,,v Daredevils,Delhi,29 Apr 2012,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,7*,7,6,1,0,116.66,1,,v Daredevils,Jaipur,1 May 2012,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,1,,v Kings XI,Mohali,5 May 2012,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,2,,v Warriors,Pune,8 May 2012,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,1,,v MI,Jaipur,17 Apr 2013,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,1,,v KKR,Eden Gardens,3 May 2013,
(Rajasthan Royals),,,,,,,,,,,,
AA Chavan,DNB,-,-,-,-,-,2,,v MI,Wankhede,15 May 2013,
(Rajasthan Royals),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v CSK,Mohali,19 Apr 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,24*,-,11,4,0,218.18,1,,v RR,Jaipur,21 Apr 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0,-,1,0,0,0.00,1,,v MI,Mohali,25 Apr 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Daredevils,Mohali,27 Apr 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Chargers,Hyderabad,1 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,21*,-,7,3,1,300.00,1,,v KKR,Mohali,3 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Bengaluru,5 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,17,-,15,1,1,113.33,2,,v CSK,Chennai,10 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Mohali,12 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Daredevils,Delhi,17 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v MI,Wankhede,21 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,16*,-,9,1,1,177.77,2,,v Chargers,Mohali,23 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0,-,1,0,0,0.00,1,,v KKR,Eden Gardens,25 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v RR,Mohali,28 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,12,-,15,1,0,80.00,1,,v CSK,Wankhede,31 May 2008,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0,-,0,0,0,-,1,,v Daredevils,Cape Town,19 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,3*,-,6,0,0,50.00,1,,v KKR,Durban,21 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Durban,24 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,6*,-,6,1,0,100.00,1,,v RR,Cape Town,26 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0,-,2,0,0,0.00,1,,v MI,Durban,29 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,3,-,4,0,0,75.00,2,,v RCB,Durban,1 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v KKR,Gqeberha,3 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,6,-,7,1,0,85.71,2,,v RR,Durban,5 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v CSK,Centurion,7 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,8*,-,6,1,0,133.33,2,,v Chargers,Kimberley,9 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0,-,0,0,0,-,1,,v MI,Centurion,12 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Daredevils,Bloemfontein,15 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,1*,-,1,0,0,100.00,1,,v Chargers,Johannesburg,17 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,4*,-,4,0,0,100.00,2,,v CSK,Durban,20 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,5,-,7,0,0,71.42,1,,v Daredevils,Mohali,13 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v RCB,Bengaluru,16 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,9,-,13,1,0,69.23,2,,v Chargers,Cuttack,19 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,8*,-,4,2,0,200.00,1,,v CSK,Chennai,21 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,8,-,8,1,0,100.00,2,,v RR,Mohali,24 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v KKR,Mohali,27 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,22,-,13,3,0,169.23,1,,v MI,Brabourne,30 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v RCB,Mohali,2 Apr 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v KKR,Eden Gardens,4 Apr 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,10,-,15,0,0,66.66,1,,v RR,Jaipur,7 Apr 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v MI,Mohali,9 Apr 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Daredevils,Delhi,11 Apr 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v Chargers,Dharamsala,16 Apr 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v CSK,Dharamsala,18 Apr 2010,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,15,-,28,0,0,53.57,1,,v Warriors,DY Patil,10 Apr 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v CSK,Mohali,13 Apr 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Chargers,Hyderabad,16 Apr 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,4,-,3,1,0,133.33,1,,v RR,Mohali,21 Apr 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Daredevils,Delhi,23 Apr 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v KKR,Eden Gardens,30 Apr 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,10*,-,10,1,0,100.00,2,,v MI,Wankhede,2 May 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,5,8,6,0,0,83.33,2,,v RCB,Bengaluru,6 May 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Kochi,Indore,13 May 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,1*,-,1,0,0,100.00,1,,v Daredevils,Dharamsala,15 May 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v RCB,Dharamsala,17 May 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,13*,-,7,0,2,185.71,2,,v Chargers,Dharamsala,21 May 2011,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,10,11,8,0,1,125.00,2,,v RR,Jaipur,6 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,16,11,8,2,1,200.00,2,,v Warriors,Pune,8 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,21*,26,24,3,0,87.50,2,,v Warriors,Mohali,12 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,13*,14,8,0,1,162.50,1,,v KKR,Eden Gardens,15 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,9,11,10,0,0,90.00,1,,v KKR,Mohali,18 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,7*,3,3,1,0,233.33,1,,v RCB,Mohali,20 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v MI,Wankhede,22 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v MI,Mohali,25 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0,2,2,0,0,0.00,1,,v CSK,Chennai,28 Apr 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,6*,7,2,0,1,300.00,2,,v RCB,Bengaluru,2 May 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,5,3,4,1,0,125.00,2,,v RR,Mohali,5 May 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v Chargers,Hyderabad,8 May 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,8,2,3,2,0,266.66,2,,v Chargers,Mohali,13 May 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,10,20,14,0,0,71.42,1,,v Daredevils,Delhi,15 May 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v CSK,Dharamsala,17 May 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,1,3,2,0,0,50.00,1,,v Daredevils,Dharamsala,19 May 2012,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Warriors,Pune,7 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,4,6,5,1,0,80.00,1,,v CSK,Mohali,10 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,7,13,9,0,0,77.77,1,,v RR,Jaipur,14 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,11*,20,8,2,0,137.50,1,,v KKR,Mohali,16 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,23,22,15,1,2,153.33,1,,v SRH,Hyderabad,19 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Warriors,Mohali,21 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,5*,7,3,1,0,166.66,2,,v Daredevils,Delhi,23 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0*,5,2,0,0,0.00,1,,v KKR,Eden Gardens,26 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,12,19,10,0,1,120.00,2,,v MI,Wankhede,29 Apr 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v CSK,Chennai,2 May 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Mohali,6 May 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,1*,1,1,0,0,100.00,1,,v RR,Mohali,9 May 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0,2,2,0,0,0.00,2,,v SRH,Mohali,11 May 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Bengaluru,14 May 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,0*,1,0,0,0,-,1,,v Daredevils,Dharamsala,16 May 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,1,2,2,0,0,50.00,1,,v MI,Dharamsala,18 May 2013,
(Kings XI Punjab),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v MI,Abu Dhabi,16 Apr 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v Daredevils,Dubai (DICS),19 Apr 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,0,3,2,0,0,0.00,2,,v Kings XI,Abu Dhabi,26 Apr 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,0,3,1,0,0,0.00,2,,v RR,Abu Dhabi,29 Apr 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,1,-,2,0,0,50.00,2,,v CSK,Ranchi,2 May 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Kings XI,Cuttack,11 May 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v MI,Cuttack,14 May 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v SRH,Hyderabad,18 May 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v CSK,Eden Gardens,20 May 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,17*,13,9,3,0,188.88,1,,v Kings XI,Eden Gardens,27 May 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,13*,16,5,1,1,260.00,2,,v Kings XI,Bengaluru,1 Jun 2014,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v MI,Eden Gardens,8 Apr 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,0*,1,0,0,0,-,1,,v RCB,Eden Gardens,11 Apr 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,4*,1,1,1,0,400.00,2,,v Kings XI,Pune,18 Apr 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Daredevils,Delhi,20 Apr 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v SRH,Visakhapatnam,22 Apr 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,0,4,2,0,0,0.00,2,,v CSK,Chennai,28 Apr 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v CSK,Eden Gardens,30 Apr 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v RCB,Bengaluru,2 May 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,9*,11,6,1,0,150.00,1,,v SRH,Eden Gardens,4 May 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,22,31,19,1,1,115.78,1,,v Daredevils,Eden Gardens,7 May 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,18,18,11,2,1,163.63,2,,v Kings XI,Eden Gardens,9 May 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,1*,17,7,0,0,14.28,2,,v MI,Wankhede,14 May 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,0,4,1,0,0,0.00,2,,v RR,Brabourne,16 May 2015,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Daredevils,Eden Gardens,10 Apr 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v MI,Eden Gardens,13 Apr 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v SRH,Hyderabad,16 Apr 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Kings XI,Mohali,19 Apr 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,8,10,5,1,0,160.00,2,,v Supergiants,Pune,24 Apr 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,8,7,5,2,0,160.00,2,,v Daredevils,Delhi,30 Apr 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Bengaluru,2 May 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v Kings XI,Eden Gardens,4 May 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v Guj Lions,Eden Gardens,8 May 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Supergiants,Eden Gardens,14 May 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v RCB,Eden Gardens,16 May 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,11,23,16,1,0,68.75,1,,v Guj Lions,Kanpur,19 May 2016,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Guj Lions,Rajkot,7 Apr 2017,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Kings XI,Eden Gardens,13 Apr 2017,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v Supergiant,Pune,26 Apr 2017,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Bengaluru,7 May 2017,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v SRH,Bengaluru,17 May 2017,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,2,10,6,0,0,33.33,1,,v MI,Bengaluru,19 May 2017,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Eden Gardens,8 Apr 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v CSK,Chennai,10 Apr 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v SRH,Eden Gardens,14 Apr 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,0,-,3,0,0,0.00,1,,v Daredevils,Eden Gardens,16 Apr 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RR,Jaipur,18 Apr 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,2*,-,2,0,0,100.00,1,,v Kings XI,Eden Gardens,21 Apr 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,2,-,4,0,0,50.00,2,,v Daredevils,Delhi,27 Apr 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v RCB,Bengaluru,29 Apr 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,2,,v CSK,Eden Gardens,3 May 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,0*,-,0,0,0,-,2,,v MI,Wankhede,6 May 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,11,-,13,1,0,84.61,2,,v MI,Eden Gardens,9 May 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
PP Chawla,DNB,-,-,-,-,-,1,,v Kings XI,Indore,12 May 2018,
(Kolkata Knight Riders),,,,,,,,,,,,
